Kecamatan;Sasaran;BelumVaksin;"Jumlah
Dosis1";"Jumlah
Dosis2";"Jumlah
Dosis3";"TotalVaksin
Diberikan";"Lansia
Dosis1";"Lansia
Dosis2";"Lansia
Dosis3";"LansiaTotal
VaksinDiberikan";"PelayanPublik
Dosis1";"PelayanPublik
Dosis2";"PelayanPublik
Dosis3";"PelayanPublikTotal
VaksinDiberikan";"GotongRoyong
Dosis1";"GotongRoyong
Dosis2";"GotongRoyong
Dosis3";"GotongRoyongTotal
VaksinDiberikan";"TenagaKesehatan
Dosis1";"TenagaKesehatan
Dosis2";"TenagaKesehatan
Dosis3";"TenagaKesehatanTotal
VaksinDiberikan";"Tahapan3
Dosis1";"Tahapan3
Dosis2";"Tahapan3
Dosis3";"Tahapan3Total
VaksinDiberikan";"Remaja
Dosis1";"Remaja
Dosis2";"Remaja
Dosis3";"RemajaTotal
VaksinDiberikan"
Cakung;451298;73424;377874;335037;144241;857152;23526;21313;21313;55215;66036;61190;19763;146989;6423;6312;3487;16222;4644;4495;3636;12775;230758;199955;104458;535171;46487;41772;2521;90780
CempakaPutih;82144;13589;68555;63342;29543;161440;6814;6529;6529;17101;15011;14195;4016;33222;1017;1000;524;2541;1558;1512;1229;4299;36640;33162;19587;89389;7515;6944;429;14888
Cengkareng;456111;76787;379324;337559;151915;868798;25085;23741;23741;63045;62679;57463;18479;138621;2493;2446;1374;6313;4178;4066;3440;11684;239215;208879;112650;560744;45674;40964;1753;88391
Cilandak;184665;27080;157585;147442;71462;376489;14865;14210;14210;38662;31338;29783;8447;69568;2152;2090;1088;5330;3075;3008;2530;8613;87456;80752;48916;217124;18699;17599;894;37192
Cilincing;340707;58685;282022;242435;93967;618424;17893;15985;15985;40835;50768;46377;13371;110516;3084;2995;1545;7624;3757;3636;2894;10287;171916;143458;67948;383322;34604;29984;1252;65840
Cipayung;232520;34511;198009;179661;78832;456502;14565;13659;13659;35944;43844;40824;12441;97109;2165;2103;1071;5339;4521;4374;3587;12482;108704;96357;52933;257994;24210;22344;1080;47634
Ciracas;252861;37449;215412;194424;91078;500914;16972;16004;16004;42357;46530;43424;14032;103986;2766;2688;1364;6818;4777;4645;3841;13263;119012;104792;61252;285056;25355;22871;1208;49434
DurenSawit;358527;58376;300151;272426;128414;700991;28501;26972;26972;72730;62011;57927;17908;137846;5070;4953;2769;12792;5781;5643;4668;16092;163402;144562;84105;392069;35386;32369;1707;69462
Gambir;79504;13796;65708;59067;28755;153530;8255;7946;7946;21078;14212;13048;4005;31265;671;653;377;1701;993;960;690;2643;35187;30740;18509;84436;6390;5720;297;12407
GrogolPetamburan;196274;30034;166240;154447;85841;406528;20661;20081;20081;55185;33286;31455;11073;75814;2121;2088;1182;5391;2304;2243;1936;6483;91130;83085;56310;230525;16738;15495;897;33130
Jagakarsa;291101;38762;252339;230992;93977;577308;19126;18147;18147;45717;51921;48350;14116;114387;2863;2787;1442;7092;4548;4412;3572;12532;142409;128043;65297;335749;31472;29253;1106;61831
Jatinegara;262190;46412;215778;191330;79364;486472;19306;18098;18098;47565;40126;36934;11088;88148;2811;2735;1473;7019;3323;3228;2611;9162;124634;107271;53064;284969;25578;23064;967;49609
JoharBaru;114661;17216;97445;85156;33367;215968;8524;7872;7872;20265;17451;15828;4649;37928;839;818;440;2097;1294;1258;966;3518;57907;49275;23023;130205;11430;10105;420;21955
KaliDeres;356818;60946;295872;262497;113502;671871;17725;16304;16304;43060;51740;47893;15775;115408;1812;1780;976;4568;2842;2767;2324;7933;184404;160150;83876;428430;37349;33603;1520;72472
KebayoranBaru;129072;20436;108636;100385;48664;257685;11431;10939;10939;29414;22383;21057;6327;49767;1368;1344;694;3406;1802;1761;1440;5003;59832;54293;32636;146761;11820;10991;523;23334
KebayoranLama;266485;43444;223041;203058;89659;515758;19415;18432;18432;48793;46435;43327;13173;102935;2697;2637;1370;6704;3371;3305;2752;9428;124109;110285;60346;294740;27014;25072;1072;53158
KebonJeruk;290818;47266;243552;216992;100010;560554;23297;21701;21701;59299;48124;44699;14451;107274;2770;2702;1475;6947;3241;3150;2603;8994;138700;119922;66136;324758;27420;24818;1044;53282
KelapaGading;119285;16591;102694;98286;63108;264088;15222;14969;14969;42422;25290;24625;8398;58313;2122;2088;1133;5343;2280;2246;1888;6414;48873;46018;38814;133705;8907;8340;644;17891
Kemayoran;206657;32196;174461;157565;69112;401138;15706;14714;14714;38742;34520;31907;9621;76048;1991;1932;997;4920;2373;2306;1857;6536;99864;88469;47427;235760;20007;18237;888;39132
